first				second				third				
A	T	C	G	A	T	C	G	A	T	C	G	length
0.230769	0.153846	0.230769	0.384615	0.384615	0.346154	0.153846	0.115385	0.269231	0.423077	0.153846	0.153846	81
0.259259	0.296296	0.259259	0.185185	0.111111	0.555556	0.148148	0.185185	0.074074	0.407407	0.333333	0.185185	84
0.407407	0.185185	0.148148	0.259259	0.074074	0.740741	0.074074	0.111111	0.222222	0.296296	0.111111	0.37037	84
0.259259	0.074074	0.37037	0.296296	0.185185	0.62963	0.111111	0.074074	0.185185	0.259259	0.185185	0.37037	84
0.285714	0.142857	0.357143	0.214286	0.142857	0.428571	0.142857	0.285714	0.25	0.285714	0.321429	0.142857	87
0.392857	0.178571	0.178571	0.25	0.25	0.321429	0.285714	0.142857	0.321429	0.321429	0.214286	0.142857	87
0.5	0.178571	0.214286	0.107143	0.357143	0.357143	0.107143	0.178571	0.25	0.142857	0.321429	0.285714	87
0.241379	0.206897	0.275862	0.275862	0.344828	0.310345	0.206897	0.137931	0.344828	0.344828	0.068966	0.241379	90
0.172414	0.241379	0.137931	0.448276	0.137931	0.551724	0.172414	0.137931	0.172414	0.241379	0.206897	0.37931	90
0.241379	0.103448	0.37931	0.275862	0.206897	0.068966	0.241379	0.482759	0.310345	0.103448	0.275862	0.310345	90
0.344828	0.137931	0.172414	0.344828	0.103448	0.517241	0.275862	0.103448	0.172414	0.206897	0.344828	0.275862	90
0.310345	0.034483	0.344828	0.310345	0.275862	0.586207	0.137931	0	0.172414	0.310345	0.241379	0.275862	90
0.37931	0.275862	0.103448	0.241379	0.206897	0.448276	0.137931	0.206897	0.103448	0.310345	0.344828	0.241379	90
0.2	0.4	0.233333	0.166667	0.1	0.533333	0.133333	0.233333	0.1	0.233333	0.233333	0.433333	93
0.387097	0.290323	0.064516	0.258065	0.064516	0.548387	0.193548	0.193548	0.16129	0.548387	0.129032	0.16129	96
0.290323	0.258065	0.129032	0.322581	0.225806	0.483871	0.129032	0.16129	0.16129	0.387097	0.193548	0.258065	96
0.25	0.25	0.09375	0.40625	0.03125	0.53125	0.25	0.1875	0.25	0.375	0.21875	0.15625	99
0.25	0.0625	0.21875	0.46875	0.09375	0.4375	0.40625	0.0625	0.21875	0.15625	0.3125	0.3125	99
0.3125	0.03125	0.25	0.40625	0.03125	0.5	0.21875	0.25	0.25	0.25	0.1875	0.3125	99
0.333333	0.212121	0.181818	0.272727	0.424242	0.484848	0.060606	0.030303	0.272727	0.393939	0.212121	0.121212	102
0.242424	0.272727	0.30303	0.181818	0.30303	0.242424	0.272727	0.181818	0.212121	0.242424	0.30303	0.242424	102
0.30303	0.242424	0.242424	0.212121	0.393939	0.212121	0.181818	0.212121	0.151515	0.363636	0.181818	0.30303	102
0.441176	0.294118	0.088235	0.176471	0.264706	0.441176	0.176471	0.117647	0.264706	0.352941	0.176471	0.205882	105
0.294118	0.205882	0.176471	0.323529	0.147059	0.558824	0.235294	0.058824	0.147059	0.352941	0.235294	0.264706	105
0.342857	0.142857	0.228571	0.285714	0.142857	0.371429	0.285714	0.2	0.114286	0.171429	0.285714	0.428571	108
0.314286	0.142857	0.228571	0.314286	0.142857	0.342857	0.314286	0.2	0.085714	0.171429	0.285714	0.457143	108
0.342857	0.142857	0.228571	0.285714	0.142857	0.371429	0.285714	0.2	0.114286	0.171429	0.285714	0.428571	108
0.314286	0.2	0.2	0.285714	0.171429	0.428571	0.171429	0.228571	0.228571	0.2	0.142857	0.428571	108
0.285714	0.171429	0.142857	0.4	0.057143	0.514286	0.171429	0.257143	0.142857	0.314286	0.314286	0.228571	108
0.342857	0.142857	0.171429	0.342857	0.2	0.4	0.228571	0.171429	0.057143	0.228571	0.285714	0.428571	108
0.305556	0.111111	0.194444	0.388889	0.138889	0.388889	0.305556	0.166667	0.222222	0.277778	0.222222	0.277778	111
0.189189	0.216216	0.189189	0.405405	0.216216	0.351351	0.243243	0.189189	0.243243	0.216216	0.27027	0.27027	114
0.342105	0.131579	0.236842	0.289474	0.342105	0.263158	0.105263	0.289474	0.157895	0.315789	0.315789	0.210526	117
0.268293	0.121951	0.292683	0.317073	0.292683	0.390244	0.170732	0.146341	0.195122	0.414634	0.195122	0.195122	126
0.341463	0.292683	0.195122	0.170732	0.121951	0.585366	0.170732	0.121951	0.146341	0.463415	0.195122	0.195122	126
0.341463	0.121951	0.243902	0.292683	0.170732	0.365854	0.219512	0.243902	0.073171	0.268293	0.512195	0.146341	126
0.414634	0.268293	0.170732	0.146341	0.195122	0.585366	0.195122	0.02439	0.268293	0.317073	0.268293	0.146341	126
0.214286	0.214286	0.190476	0.380952	0.357143	0.333333	0.166667	0.142857	0.285714	0.52381	0.02381	0.166667	129
0.357143	0.238095	0.238095	0.166667	0.357143	0.357143	0.142857	0.142857	0.166667	0.285714	0.214286	0.333333	129
0.261905	0.214286	0.095238	0.428571	0.404762	0.238095	0.214286	0.142857	0.261905	0.214286	0.357143	0.166667	129
0.261905	0.119048	0.357143	0.261905	0.285714	0.309524	0.190476	0.214286	0.166667	0.238095	0.357143	0.238095	129
0.232558	0.302326	0.27907	0.186047	0.302326	0.27907	0.162791	0.255814	0.209302	0.255814	0.186047	0.348837	132
0.27907	0.232558	0.255814	0.232558	0.348837	0.348837	0.209302	0.093023	0.232558	0.325581	0.069767	0.372093	132
0.272727	0.204545	0.181818	0.340909	0.386364	0.295455	0.113636	0.204545	0.136364	0.272727	0.295455	0.295455	135
0.181818	0.25	0.340909	0.227273	0.181818	0.386364	0.204545	0.227273	0.159091	0.295455	0.295455	0.25	135
0.4	0.066667	0.266667	0.266667	0.4	0.2	0.2	0.2	0.311111	0.266667	0.288889	0.133333	138
0.326087	0.130435	0.326087	0.217391	0.369565	0.23913	0.152174	0.23913	0.282609	0.391304	0.108696	0.217391	141
0.23913	0.217391	0.282609	0.26087	0.23913	0.347826	0.173913	0.23913	0.23913	0.282609	0.23913	0.23913	141
0.23913	0.326087	0.304348	0.130435	0.282609	0.543478	0.043478	0.130435	0.086957	0.391304	0.130435	0.391304	141
0.434783	0.23913	0.043478	0.282609	0.413043	0.413043	0.152174	0.021739	0.326087	0.434783	0.195652	0.043478	141
0.26087	0.108696	0.391304	0.23913	0.217391	0.217391	0.26087	0.304348	0.130435	0.478261	0.195652	0.195652	141
0.434783	0.130435	0.152174	0.282609	0.195652	0.413043	0.304348	0.086957	0.23913	0.282609	0.326087	0.152174	141
0.297872	0.276596	0.12766	0.297872	0.255319	0.340426	0.191489	0.212766	0.212766	0.319149	0.276596	0.191489	144
0.212766	0.276596	0.191489	0.319149	0.212766	0.510638	0.085106	0.191489	0.12766	0.255319	0.234043	0.382979	144
0.333333	0.145833	0.104167	0.416667	0.208333	0.291667	0.354167	0.145833	0.229167	0.3125	0.208333	0.25	147
0.285714	0.142857	0.367347	0.204082	0.367347	0.285714	0.122449	0.22449	0.142857	0.346939	0.183673	0.326531	150
0.285714	0.163265	0.183673	0.367347	0.244898	0.510204	0.102041	0.142857	0.265306	0.285714	0.265306	0.183673	150
0.326531	0.142857	0.306122	0.22449	0.204082	0.408163	0.22449	0.163265	0.102041	0.183673	0.326531	0.387755	150
0.32	0.1	0.16	0.42	0.26	0.38	0.26	0.1	0.12	0.2	0.32	0.36	153
0.26	0.18	0.2	0.36	0.26	0.42	0.22	0.1	0.16	0.28	0.12	0.44	153
0.3	0.36	0.16	0.18	0.28	0.42	0.16	0.14	0.28	0.28	0.1	0.34	153
0.411765	0.156863	0.156863	0.27451	0.333333	0.235294	0.235294	0.196078	0.235294	0.117647	0.392157	0.254902	156
0.27451	0.117647	0.215686	0.392157	0.294118	0.294118	0.27451	0.137255	0.372549	0.333333	0.137255	0.156863	156
0.333333	0.117647	0.176471	0.372549	0.254902	0.392157	0.235294	0.117647	0.235294	0.078431	0.333333	0.352941	156
0.392157	0.156863	0.137255	0.313725	0.352941	0.215686	0.235294	0.196078	0.196078	0.235294	0.333333	0.235294	156
0.307692	0.192308	0.25	0.25	0.115385	0.5	0.153846	0.230769	0.076923	0.25	0.326923	0.346154	159
0.264151	0.075472	0.226415	0.433962	0.415094	0.320755	0.188679	0.075472	0.169811	0.301887	0.169811	0.358491	162
0.245283	0.169811	0.169811	0.415094	0.037736	0.509434	0.207547	0.245283	0.169811	0.301887	0.301887	0.226415	162
0.333333	0.111111	0.148148	0.407407	0.314815	0.333333	0.185185	0.166667	0.203704	0.277778	0.222222	0.296296	165
0.185185	0.222222	0.240741	0.351852	0.203704	0.37037	0.185185	0.240741	0.240741	0.333333	0.12963	0.296296	165
0.296296	0.092593	0.148148	0.462963	0.37037	0.222222	0.296296	0.111111	0.203704	0.222222	0.222222	0.351852	165
0.240741	0.12963	0.314815	0.314815	0.333333	0.296296	0.092593	0.277778	0.166667	0.148148	0.166667	0.518519	165
0.236364	0.127273	0.309091	0.327273	0.327273	0.181818	0.181818	0.309091	0.345455	0.145455	0.2	0.309091	168
0.181818	0.181818	0.309091	0.327273	0.454545	0.218182	0.218182	0.109091	0.345455	0.218182	0.145455	0.290909	168
0.2	0.181818	0.290909	0.327273	0.327273	0.181818	0.363636	0.127273	0.218182	0.345455	0.236364	0.2	168
0.236364	0.109091	0.345455	0.309091	0.345455	0.254545	0.181818	0.218182	0.145455	0.345455	0.218182	0.290909	168
0.327273	0.181818	0.181818	0.309091	0.272727	0.290909	0.272727	0.163636	0.218182	0.418182	0.2	0.163636	168
0.418182	0.109091	0.2	0.272727	0.418182	0.254545	0.218182	0.109091	0.236364	0.327273	0.2	0.236364	168
0.357143	0.107143	0.303571	0.232143	0.25	0.267857	0.232143	0.25	0.303571	0.25	0.196429	0.25	171
0.375	0.160714	0.160714	0.303571	0.464286	0.232143	0.142857	0.160714	0.375	0.267857	0.214286	0.142857	171
0.438596	0.087719	0.105263	0.368421	0.438596	0.298246	0.175439	0.087719	0.368421	0.175439	0.263158	0.192982	174
0.315789	0.087719	0.157895	0.438596	0.421053	0.052632	0.175439	0.350877	0.333333	0.245614	0.298246	0.122807	174
0.298246	0.105263	0.298246	0.298246	0.333333	0.192982	0.263158	0.210526	0.175439	0.245614	0.421053	0.157895	174
0.473684	0.210526	0.140351	0.175439	0.298246	0.45614	0.175439	0.070175	0.210526	0.368421	0.245614	0.175439	174
0.385965	0.175439	0.315789	0.122807	0.280702	0.245614	0.105263	0.368421	0.157895	0.210526	0.245614	0.385965	174
0.210526	0.140351	0.245614	0.403509	0.333333	0.333333	0.245614	0.087719	0.192982	0.333333	0.22807	0.245614	174
0.333333	0.263158	0.105263	0.298246	0.22807	0.245614	0.280702	0.245614	0.22807	0.368421	0.210526	0.192982	174
0.22807	0.298246	0.245614	0.22807	0.140351	0.491228	0.245614	0.122807	0.157895	0.315789	0.210526	0.315789	174
0.54386	0.105263	0.070175	0.280702	0.438596	0.298246	0.175439	0.087719	0.385965	0.333333	0.122807	0.157895	174
0.315789	0.298246	0.192982	0.192982	0.122807	0.561404	0.192982	0.122807	0.280702	0.368421	0.175439	0.175439	174
0.293103	0.137931	0.293103	0.275862	0.327586	0.275862	0.103448	0.293103	0.224138	0.241379	0.275862	0.258621	177
0.237288	0.118644	0.186441	0.457627	0.40678	0.050847	0.20339	0.338983	0.305085	0.338983	0.254237	0.101695	180
0.186441	0.084746	0.288136	0.440678	0.355932	0.271186	0.20339	0.169492	0.237288	0.152542	0.254237	0.355932	180
0.305085	0.220339	0.220339	0.254237	0.305085	0.440678	0.118644	0.135593	0.220339	0.288136	0.220339	0.271186	180
0.372881	0.033898	0.271186	0.322034	0.237288	0.322034	0.237288	0.20339	0.135593	0.372881	0.220339	0.271186	180
0.3	0.166667	0.333333	0.2	0.183333	0.333333	0.283333	0.2	0.183333	0.116667	0.233333	0.466667	183
0.233333	0.166667	0.25	0.35	0.366667	0.3	0.233333	0.1	0.3	0.2	0.183333	0.316667	183
0.25	0.133333	0.3	0.316667	0.35	0.316667	0.166667	0.166667	0.2	0.3	0.233333	0.266667	183
0.116667	0.216667	0.283333	0.383333	0.1	0.416667	0.25	0.233333	0.066667	0.266667	0.2	0.466667	183
0.283333	0.1	0.35	0.266667	0.5	0.15	0.216667	0.133333	0.266667	0.383333	0.15	0.2	183
0.333333	0.133333	0.1	0.433333	0.35	0.266667	0.266667	0.116667	0.2	0.316667	0.2	0.283333	183
0.233333	0.15	0.133333	0.483333	0.283333	0.266667	0.15	0.3	0.116667	0.35	0.183333	0.35	183
0.360656	0.278689	0.245902	0.114754	0.213115	0.327869	0.213115	0.245902	0.344262	0.327869	0.147541	0.180328	186
0.295082	0.180328	0.327869	0.196721	0.196721	0.327869	0.295082	0.180328	0.147541	0.114754	0.262295	0.47541	186
0.377049	0.114754	0.180328	0.327869	0.295082	0.393443	0.229508	0.081967	0.180328	0.344262	0.213115	0.262295	186
0.295082	0.163934	0.131148	0.409836	0.278689	0.327869	0.213115	0.180328	0.360656	0.262295	0.196721	0.180328	186
0.278689	0.098361	0.245902	0.377049	0.327869	0.327869	0.163934	0.180328	0.163934	0.295082	0.245902	0.295082	186
0.387097	0.177419	0.177419	0.258065	0.290323	0.33871	0.193548	0.177419	0.387097	0.33871	0.112903	0.16129	189
0.177419	0.193548	0.370968	0.258065	0.33871	0.322581	0.225806	0.112903	0.258065	0.370968	0.225806	0.145161	189
0.209677	0.129032	0.193548	0.467742	0.322581	0.322581	0.16129	0.193548	0.193548	0.258065	0.209677	0.33871	189
0.225806	0.193548	0.258065	0.322581	0.387097	0.274194	0.274194	0.064516	0.225806	0.306452	0.16129	0.306452	189
0.301587	0.111111	0.269841	0.31746	0.428571	0.142857	0.31746	0.111111	0.31746	0.238095	0.15873	0.285714	192
0.301587	0.111111	0.206349	0.380952	0.285714	0.365079	0.238095	0.111111	0.222222	0.396825	0.174603	0.206349	192
0.349206	0.095238	0.333333	0.222222	0.349206	0.222222	0.253968	0.174603	0.15873	0.301587	0.222222	0.31746	192
0.142857	0.253968	0.222222	0.380952	0.333333	0.333333	0.095238	0.238095	0.111111	0.428571	0.206349	0.253968	192
0.285714	0.206349	0.31746	0.190476	0.253968	0.31746	0.190476	0.238095	0.238095	0.206349	0.380952	0.174603	192
0.253968	0.063492	0.365079	0.31746	0.396825	0.301587	0.142857	0.15873	0.142857	0.190476	0.190476	0.47619	192
0.333333	0.190476	0.238095	0.238095	0.190476	0.365079	0.238095	0.206349	0.206349	0.253968	0.301587	0.238095	192
0.453125	0.15625	0.171875	0.21875	0.3125	0.203125	0.265625	0.21875	0.34375	0.21875	0.265625	0.171875	195
0.3125	0.21875	0.125	0.34375	0.328125	0.140625	0.203125	0.328125	0.40625	0.359375	0.140625	0.09375	195
0.234375	0.21875	0.25	0.296875	0.359375	0.296875	0.15625	0.1875	0.171875	0.3125	0.203125	0.3125	195
0.292308	0.184615	0.2	0.323077	0.292308	0.2	0.215385	0.292308	0.261538	0.215385	0.276923	0.246154	198
0.215385	0.184615	0.230769	0.369231	0.384615	0.215385	0.184615	0.215385	0.169231	0.246154	0.276923	0.307692	198
0.446154	0.153846	0.153846	0.246154	0.261538	0.415385	0.215385	0.107692	0.292308	0.307692	0.184615	0.215385	198
0.369231	0.076923	0.292308	0.261538	0.323077	0.246154	0.230769	0.2	0.215385	0.246154	0.292308	0.246154	198
0.230769	0.092308	0.292308	0.384615	0.4	0.261538	0.153846	0.184615	0.261538	0.246154	0.184615	0.307692	198
0.307692	0.2	0.169231	0.323077	0.184615	0.430769	0.2	0.184615	0.123077	0.276923	0.184615	0.415385	198
0.19697	0.181818	0.106061	0.515152	0.363636	0.272727	0.212121	0.151515	0.257576	0.19697	0.287879	0.257576	201
0.287879	0.242424	0.151515	0.318182	0.378788	0.227273	0.242424	0.151515	0.318182	0.257576	0.19697	0.227273	201
0.287879	0.19697	0.227273	0.287879	0.363636	0.287879	0.151515	0.19697	0.257576	0.272727	0.287879	0.181818	201
0.272727	0.151515	0.257576	0.318182	0.454545	0.318182	0.106061	0.121212	0.090909	0.242424	0.287879	0.378788	201
0.212121	0.166667	0.212121	0.409091	0.409091	0.272727	0.181818	0.136364	0.181818	0.227273	0.30303	0.287879	201
0.30303	0.151515	0.257576	0.287879	0.272727	0.227273	0.19697	0.30303	0.166667	0.227273	0.378788	0.227273	201
0.257576	0.19697	0.227273	0.318182	0.348485	0.272727	0.166667	0.212121	0.181818	0.378788	0.181818	0.257576	201
0.257576	0.121212	0.227273	0.393939	0.378788	0.242424	0.166667	0.212121	0.242424	0.30303	0.19697	0.257576	201
0.166667	0.060606	0.393939	0.378788	0.378788	0.318182	0.166667	0.136364	0.166667	0.227273	0.227273	0.378788	201
0.298507	0.059701	0.179104	0.462687	0.328358	0.328358	0.208955	0.134328	0.164179	0.313433	0.149254	0.373134	204
0.373134	0.044776	0.223881	0.358209	0.253731	0.283582	0.208955	0.253731	0.164179	0.298507	0.343284	0.19403	204
0.149254	0.373134	0.253731	0.223881	0.104478	0.552239	0.19403	0.149254	0.149254	0.238806	0.253731	0.358209	204
0.298507	0.134328	0.283582	0.283582	0.298507	0.238806	0.343284	0.119403	0.208955	0.223881	0.268657	0.298507	204
0.358209	0.283582	0.134328	0.223881	0.432836	0.38806	0.164179	0.014925	0.358209	0.328358	0.119403	0.19403	204
0.283582	0.19403	0.19403	0.328358	0.432836	0.208955	0.119403	0.238806	0.149254	0.19403	0.402985	0.253731	204
0.338235	0.147059	0.147059	0.367647	0.382353	0.338235	0.205882	0.073529	0.191176	0.411765	0.132353	0.264706	207
0.205882	0.25	0.235294	0.308824	0.279412	0.294118	0.220588	0.205882	0.161765	0.294118	0.279412	0.264706	207
0.308824	0.161765	0.25	0.279412	0.367647	0.397059	0.117647	0.117647	0.191176	0.25	0.205882	0.352941	207
0.362319	0.086957	0.173913	0.376812	0.275362	0.347826	0.246377	0.130435	0.144928	0.217391	0.275362	0.362319	210
0.333333	0.173913	0.115942	0.376812	0.318841	0.289855	0.231884	0.15942	0.202899	0.347826	0.289855	0.15942	210
0.434783	0.231884	0.101449	0.231884	0.391304	0.202899	0.26087	0.144928	0.405797	0.275362	0.144928	0.173913	210
0.318841	0.057971	0.231884	0.391304	0.347826	0.333333	0.130435	0.188406	0.333333	0.202899	0.173913	0.289855	210
0.304348	0.144928	0.130435	0.42029	0.347826	0.289855	0.202899	0.15942	0.173913	0.333333	0.275362	0.217391	210
0.130435	0.173913	0.275362	0.42029	0.188406	0.376812	0.275362	0.15942	0.130435	0.275362	0.173913	0.42029	210
0.202899	0.15942	0.347826	0.289855	0.347826	0.289855	0.188406	0.173913	0.231884	0.275362	0.173913	0.318841	210
0.304348	0.115942	0.173913	0.405797	0.536232	0.173913	0.072464	0.217391	0.275362	0.304348	0.173913	0.246377	210
0.242857	0.185714	0.214286	0.357143	0.242857	0.371429	0.142857	0.242857	0.171429	0.3	0.242857	0.285714	213
0.242857	0.114286	0.185714	0.457143	0.285714	0.285714	0.2	0.228571	0.214286	0.2	0.3	0.285714	213
0.257143	0.171429	0.228571	0.342857	0.228571	0.314286	0.228571	0.228571	0.328571	0.271429	0.3	0.1	213
0.328571	0.157143	0.157143	0.357143	0.342857	0.3	0.2	0.157143	0.185714	0.342857	0.285714	0.185714	213
0.385714	0.257143	0.185714	0.171429	0.3	0.5	0.114286	0.085714	0.228571	0.371429	0.185714	0.214286	213
0.328571	0.171429	0.128571	0.371429	0.342857	0.314286	0.2	0.142857	0.242857	0.385714	0.185714	0.185714	213
0.271429	0.157143	0.228571	0.342857	0.242857	0.3	0.228571	0.228571	0.228571	0.342857	0.314286	0.114286	213
0.314286	0.171429	0.128571	0.385714	0.328571	0.285714	0.242857	0.142857	0.2	0.242857	0.257143	0.3	213
0.314286	0.2	0.214286	0.271429	0.271429	0.285714	0.242857	0.2	0.314286	0.2	0.257143	0.228571	213
0.314286	0.185714	0.1	0.4	0.314286	0.271429	0.228571	0.185714	0.185714	0.257143	0.414286	0.142857	213
0.214286	0.142857	0.271429	0.371429	0.4	0.257143	0.128571	0.214286	0.285714	0.3	0.071429	0.342857	213
0.357143	0.157143	0.2	0.285714	0.342857	0.242857	0.157143	0.257143	0.128571	0.271429	0.457143	0.142857	213
0.295775	0.197183	0.169014	0.338028	0.267606	0.295775	0.239437	0.197183	0.253521	0.239437	0.211268	0.295775	216
0.295775	0.211268	0.211268	0.28169	0.352113	0.295775	0.126761	0.225352	0.28169	0.211268	0.267606	0.239437	216
0.28169	0.112676	0.239437	0.366197	0.394366	0.28169	0.225352	0.098592	0.169014	0.380282	0.239437	0.211268	216
0.295775	0.197183	0.15493	0.352113	0.253521	0.295775	0.253521	0.197183	0.239437	0.309859	0.126761	0.323944	216
0.338028	0.211268	0.084507	0.366197	0.309859	0.309859	0.225352	0.15493	0.225352	0.535211	0.112676	0.126761	216
0.211268	0.197183	0.295775	0.295775	0.394366	0.309859	0.140845	0.15493	0.169014	0.28169	0.323944	0.225352	216
0.126761	0.239437	0.309859	0.323944	0.366197	0.267606	0.140845	0.225352	0.239437	0.309859	0.197183	0.253521	216
0.352113	0.112676	0.28169	0.253521	0.239437	0.267606	0.295775	0.197183	0.323944	0.239437	0.126761	0.309859	216
0.225352	0.112676	0.309859	0.352113	0.323944	0.211268	0.239437	0.225352	0.253521	0.295775	0.225352	0.225352	216
0.222222	0.263889	0.236111	0.277778	0.166667	0.375	0.208333	0.25	0.25	0.25	0.277778	0.222222	219
0.305556	0.25	0.194444	0.25	0.375	0.291667	0.222222	0.111111	0.291667	0.25	0.25	0.208333	219
0.166667	0.25	0.347222	0.236111	0.319444	0.222222	0.263889	0.194444	0.180556	0.180556	0.208333	0.430556	219
0.375	0.097222	0.208333	0.319444	0.319444	0.333333	0.166667	0.180556	0.194444	0.222222	0.388889	0.194444	219
0.402778	0.125	0.25	0.222222	0.263889	0.472222	0.138889	0.125	0.180556	0.333333	0.25	0.236111	219
0.305556	0.138889	0.097222	0.458333	0.138889	0.277778	0.305556	0.277778	0.236111	0.319444	0.222222	0.222222	219
0.208333	0.166667	0.263889	0.361111	0.277778	0.277778	0.361111	0.083333	0.194444	0.361111	0.208333	0.236111	219
0.333333	0.097222	0.222222	0.347222	0.402778	0.222222	0.263889	0.111111	0.236111	0.263889	0.194444	0.305556	219
0.277778	0.208333	0.291667	0.222222	0.333333	0.236111	0.236111	0.194444	0.166667	0.236111	0.25	0.347222	219
0.291667	0.097222	0.347222	0.263889	0.333333	0.361111	0.166667	0.138889	0.194444	0.152778	0.194444	0.458333	219
0.305556	0.138889	0.152778	0.402778	0.333333	0.291667	0.194444	0.180556	0.208333	0.402778	0.166667	0.222222	219
0.402778	0.208333	0.125	0.263889	0.375	0.25	0.291667	0.083333	0.333333	0.416667	0.125	0.125	219
0.347222	0.388889	0.138889	0.125	0.361111	0.347222	0.180556	0.111111	0.25	0.430556	0.166667	0.152778	219
0.347222	0.138889	0.236111	0.277778	0.402778	0.208333	0.125	0.263889	0.277778	0.305556	0.166667	0.25	219
0.25	0.111111	0.319444	0.319444	0.361111	0.277778	0.277778	0.083333	0.236111	0.166667	0.180556	0.416667	219
0.208333	0.152778	0.291667	0.347222	0.361111	0.305556	0.152778	0.180556	0.25	0.208333	0.236111	0.305556	219
0.222222	0.138889	0.277778	0.361111	0.388889	0.277778	0.125	0.208333	0.263889	0.305556	0.138889	0.291667	219
0.328767	0.164384	0.260274	0.246575	0.30137	0.232877	0.178082	0.287671	0.123288	0.164384	0.493151	0.219178	222
0.287671	0.082192	0.150685	0.479452	0.09589	0.452055	0.287671	0.164384	0.136986	0.273973	0.356164	0.232877	222
0.232877	0.123288	0.315068	0.328767	0.232877	0.287671	0.260274	0.219178	0.246575	0.232877	0.123288	0.39726	222
0.342466	0.150685	0.232877	0.273973	0.315068	0.287671	0.219178	0.178082	0.260274	0.383562	0.191781	0.164384	222
0.260274	0.136986	0.30137	0.30137	0.260274	0.273973	0.205479	0.260274	0.123288	0.356164	0.287671	0.232877	222
0.273973	0.136986	0.178082	0.410959	0.205479	0.273973	0.328767	0.191781	0.136986	0.328767	0.232877	0.30137	222
0.256757	0.148649	0.148649	0.445946	0.337838	0.27027	0.202703	0.189189	0.216216	0.310811	0.297297	0.175676	225
0.216216	0.202703	0.324324	0.256757	0.27027	0.324324	0.189189	0.216216	0.216216	0.324324	0.121622	0.337838	225
0.310811	0.148649	0.243243	0.297297	0.472973	0.297297	0.094595	0.135135	0.297297	0.216216	0.22973	0.256757	225
0.310811	0.108108	0.243243	0.337838	0.364865	0.297297	0.256757	0.081081	0.243243	0.216216	0.175676	0.364865	225
0.346667	0.16	0.173333	0.32	0.386667	0.226667	0.213333	0.173333	0.293333	0.253333	0.146667	0.306667	228
0.266667	0.146667	0.133333	0.453333	0.4	0.226667	0.24	0.133333	0.28	0.253333	0.226667	0.24	228
0.253333	0.186667	0.28	0.28	0.226667	0.373333	0.16	0.24	0.08	0.36	0.253333	0.306667	228
